OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
1,0,1,1,-10.023986,-48.665663,410.512553,205.2562765 Kilometer,205256.2765,0,,,,,30.53105193,74.16770738
2,2,2,1,-2.490997,-55.985663,377.82968,188.91484 Kilometer,188914.84,1,1026,-3.95,-56.143,8.317,27.8957534,61.92279644
3,5,3,1,-3.13491,-44.327913,357.930962,178.965481 Kilometer,178965.481,2,1032,-2.59,-47.827,7.767,26.43355114,55.60120729
4,1,4,1,4.344844,-40.889761,317.772382,158.886191 Kilometer,158886.191,3,8042,4.96,-37.741,7.958,23.48343566,43.88269256
5,0,5,1,3.347104,-49.15436,311.557936,155.778968 Kilometer,155778.968,4,,,,,23.01057851,42.13333574
6,5,6,1,-1.3786,-36.608961,294.079712,147.039856 Kilometer,147039.856,5,8054,-2.496,-38.415,17.413,21.70404143,37.48449516
7,0,7,1,16.16193,-44.085661,245.440261,122.7201305 Kilometer,122720.1305,6,,,,,18.4860366,27.17586844
8,0,8,1,-2.842234,-66.675657,205.348306,102.674153 Kilometer,102674.153,7,,,,,15.16178196,18.29204601
9,3,9,1,11.565703,-44.01856,200.946948,100.473474 Kilometer,100473.474,8,1094,11.189,-45.457,1.826,14.98178413,17.85738861
10,0,10,1,6.485195,-31.044793,200.635937,100.3179685 Kilometer,100317.9685,9,,,,,14.85242524,17.55289837
11,2,11,1,24.691173,-36.063459,199.810631,99.9053155 Kilometer,99905.3155,10,8055,23.751,-36.181,12.856,15.49527774,19.04002423
12,0,12,1,7.24573,-54.22566,192.195096,96.097548 Kilometer,96097.548,11,,,,,14.23919988,16.13374115
13,2,13,1,24.457089,-64.915786,188.977387,94.4886935 Kilometer,94488.6935,12,1060,25.374,-64.311,74.153,14.64037327,16.99930975
14,1,14,1,27.201918,-60.38566,183.275445,91.6377225 Kilometer,91637.7225,13,1013,26.964,-59.575,1236.514,14.37749343,16.36418076
15,0,15,1,8.040065,-57.438662,182.801543,91.4007715 Kilometer,91400.7715,14,,,,,13.55589709,14.62225071
16,0,16,1,-5.701906,-32.47566,178.473161,89.2365805 Kilometer,89236.5805,15,,,,,13.20219113,13.86952524
17,1,17,1,7.883481,-51.031962,164.924249,82.4621245 Kilometer,82462.1245,16,1018,7.577,-51.176,181.445,12.22773043,11.89731851
18,1,18,1,15.340563,-49.01346,161.943713,80.9718565 Kilometer,80971.8565,17,1020,15.472,-48.426,6942.687,12.17147768,11.78262886
19,1,19,1,18.79531,-53.30316,155.908688,77.954344 Kilometer,77954.344,18,1044,18.877,-53.221,4206.395,11.83065009,11.12490904
20,1,20,1,3.40671,-34.185659,155.294726,77.647363 Kilometer,77647.363,19,8062,3.619,-34.294,2.458,11.46913112,10.4672342
21,1,21,1,29.603243,-53.685659,151.155857,75.5779285 Kilometer,75577.9285,20,1010,29.942,-53.798,78.333,12.00579726,11.38576218
22,0,22,1,10.159483,-48.174959,150.657078,75.328539 Kilometer,75328.539,21,,,,,11.2055036,9.990614386
23,1,23,1,32.502977,-66.785658,146.680038,73.340019 Kilometer,73340.019,22,7014,32.626,-66.788,28.13,11.85017719,11.05333665
24,1,24,1,15.705339,-30.585661,145.967231,72.9836155 Kilometer,72983.6155,23,8195,16.325,-30.08,177.539,10.98059699,9.589247459
25,1,25,1,19.688615,-47.47856,141.000466,70.500233 Kilometer,70500.233,24,1077,20.177,-48.203,14.318,10.72972095,9.148554868
26,1,26,1,12.480827,-56.647661,139.508588,69.754294 Kilometer,69754.294,25,1015,12.212,-56.344,706.626,10.41906791,8.636403931
27,0,27,1,-8.980064,-22.633862,131.4,65.7 Kilometer,65700,26,,,,,9.755996583,7.57331757
28,0,28,1,-4.044115,-51.706961,124.79988,62.39994 Kilometer,62399.94,27,,,,,9.22019387,6.764661889
29,0,29,1,-0.068864,-69.2769,123.537805,61.7689025 Kilometer,61768.9025,28,,,,,9.115565491,6.612016775
30,1,30,1,5.79164,-59.201589,121.615417,60.8077085 Kilometer,60807.7085,29,1080,5.898,-57.871,3.286,8.996747109,6.440697724
31,2,31,1,14.724255,-62.25596,118.472801,59.2364005 Kilometer,59236.4005,30,1048,14.01,-62.764,422.622,8.890875523,6.287414194
32,0,32,1,17.105866,-35.778852,116.890966,58.445483 Kilometer,58445.483,31,,,,,8.825862852,6.193625896
33,0,33,1,19.791855,-62.606909,113.714835,56.8574175 Kilometer,56857.4175,32,,,,,8.656157293,5.954006686
34,0,34,1,-2.979644,-64.450857,111.892496,55.946248 Kilometer,55946.248,33,,,,,8.261829833,5.431457894
35,1,35,1,4.606846,-54.685659,110.217515,55.1087575 Kilometer,55108.7575,34,1017,4.327,-54.208,575.253,8.145829874,5.279987769
36,0,36,1,26.724569,-73.933139,109.250158,54.625079 Kilometer,54625.079,35,,,,,8.550219627,5.789462749
37,0,37,1,24.830831,-49.406061,108.810875,54.4054375 Kilometer,54405.4375,36,,,,,8.442819437,5.652024761
