OID,Join_Count,TARGET_FID,Diam_km,x_coord,y_coord,Area,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Leng,Shape_Area,Area_km2,Diam_km1
-1,1,5,79.28979945,-75.21651923,1.406195858,4938.579486,1,1.933,-74.53,65.4,249143.5098,4938579486,4938.579486,79
-1,1,17,89.01233512,-66.6964423,-7.258726849,6272.422493,1,-7.314,-66.92,10.137,280783.5362,6272422493,6272.422493,89
-1,1,27,105.024956,-73.49965323,-1.006138236,8663.620577,1,-0.976,-73.192,32.621,329988.0836,8663620577,8663.620577,105
-1,1,44,22.31110185,-67.96192679,8.403809369,394.666642,1,8.473,-67.816,21.163,70453.75548,394666642,394.666642,22
-1,1,47,107.8330762,-67.72038351,8.594374599,9235.428192,1,8.473,-67.816,21.163,340712.1313,9235428192,9235.428192,108
-1,1,69,23.5148468,-70.84859468,16.10691033,451.4149566,1,16.339,-70.807,1.697,75369.74394,451414956.6,451.4149566,24
-1,1,73,100.1091554,-67.53186157,21.98056873,8487.257508,1,22.217,-67.584,5.356,326961.0348,8487257508,8487.257508,104
-1,1,77,45.502702,-64.54124776,25.65994691,1801.648352,1,25.374,-64.311,74.153,150831.005,1801648352,1801.648352,48
-1,1,88,153.7205932,-66.61803339,32.71935776,22058.43973,1,32.626,-66.788,28.13,529512.0609,22058439728,22058.43973,168
-1,1,112,22.15718173,-53.89695348,29.77410899,443.6232582,1,29.942,-53.798,78.333,74977.17956,443623258.2,443.6232582,24
-1,1,118,192.0970112,-60.34361433,27.05449629,32544.48937,1,26.964,-59.575,1236.514,641194.6477,32544489368,32544.48937,204
-1,1,119,141.1558074,-53.73604854,29.48875233,17977.12273,1,29.942,-53.798,78.333,477078.4755,17977122733,17977.12273,151
-1,1,123,46.00112234,-53.99035199,22.18404222,1792.424552,1,21.875,-53.965,271.312,150306.9049,1792424552,1792.424552,48
-1,1,127,147.7006329,-53.26026378,18.70684475,18088.7224,1,18.877,-53.221,4206.395,477082.7615,18088722400,18088.7224,152
-1,1,136,23.47057093,-61.84414174,15.00054966,447.3060075,1,14.99,-61.928,20.942,75020.494,447306007.5,447.3060075,24
-1,1,137,74.91068977,-63.19350625,13.54289024,4532.828725,1,14.01,-62.764,422.622,238726.2412,4532828725,4532.828725,76
-1,1,138,119.7166762,-62.19676148,14.55083959,11628.46793,2,14.01,-62.764,422.622,382381.6772,11628467934,11628.46793,122
-1,1,138,119.7166762,-62.19676148,14.55083959,11628.46793,2,14.01,-62.764,422.622,382381.6772,11628467934,11628.46793,122
-1,1,139,139.5050287,-56.70510123,12.53084042,15657.29557,1,12.212,-56.344,706.626,443664.6191,15657295568,15657.29557,141
-1,1,151,77.33290166,-57.25119862,5.862479484,4721.085515,1,5.898,-57.871,3.286,243596.9188,4721085515,4721.085515,78
-1,1,152,41.3672326,-55.97934929,5.273635535,1347.900699,1,5.382,-55.807,64.465,130199.6724,1347900699,1347.900699,41
-1,1,155,97.85570506,-54.601955,4.670443584,7545.028184,1,4.327,-54.208,575.253,307949.8069,7545028184,7545.028184,98
-1,1,156,36.021804,-56.14831331,3.788945679,1019.959684,1,3.707,-56.158,328.542,113258.6369,1019959684,1019.959684,36
-1,1,159,45.01039376,-62.33842366,6.11169039,1598.10215,1,6.275,-62.437,4.839,141770.0251,1598102150,1598.10215,45
-1,1,161,94.19374823,-62.26924449,4.222261031,6986.617457,1,4.506,-61.747,35.827,296334.8106,6986617457,6986.617457,94
-1,1,163,46.74673842,-61.51733655,1.891488815,1714.917183,1,2.122,-61.3,1.191,146859.1619,1714917183,1714.917183,47
-1,1,175,68.09383757,-56.01129038,-3.967238719,3649.979213,1,-3.95,-56.143,8.317,214187.5476,3649979213,3649.979213,68
-1,1,177,86.75950613,-58.48204876,-7.645002063,5964.185187,1,-8.075,-57.583,7.802,273798.2699,5964185187,5964.185187,87
-1,1,186,53.42991107,-57.55267434,-8.049825651,2261.386041,1,-8.075,-57.583,7.802,168645.549,2261386041,2261.386041,54
-1,1,197,26.67977308,-43.65218915,-4.568649153,560.0758344,1,-4.601,-43.582,0.943,83927.38468,560075834.4,560.0758344,27
-1,1,207,164.9147381,-50.94633431,7.877472248,21563.5834,1,7.577,-51.176,181.445,520615.0469,21563583398,21563.5834,166
-1,1,213,40.26983125,-43.20504713,10.14307138,1292.121362,1,10.565,-43.001,1.212,127482.7764,1292121362,1292.121362,41
-1,1,217,22.10299956,-50.05294629,11.61595172,391.1915025,1,11.574,-50.056,22.255,70147.10015,391191502.5,391.1915025,22
-1,1,222,160.969793,-48.91877646,15.26553662,21094.56899,1,15.472,-48.426,6942.687,515039.8543,21094568986,21094.56899,164
-1,1,230,42.01784716,-50.3686897,22.8980836,1503.201715,1,23.067,-50.236,4.956,137668.2287,1503201715,1503.201715,44
-1,1,231,45.58186153,-50.51658106,23.3247878,1774.658733,1,23.067,-50.236,4.956,149597.949,1774658733,1774.658733,48
-1,1,253,45.10491237,-45.40419333,35.85909116,1968.881225,1,35.842,-45.235,45.226,158675.4742,1968881225,1968.881225,50
-1,1,255,53.15345718,-42.00321599,36.76836261,2766.528339,1,36.662,-42.047,16.803,188266.5165,2766528339,2766.528339,59
-1,1,256,55.55256029,-38.07042847,35.95517694,2991.111863,1,35.931,-37.541,0.204,195568.6761,2991111863,2991.111863,62
-1,1,257,47.95178408,-34.56091187,35.55922057,2216.910281,1,35.508,-34.55,0.17,168325.2786,2216910281,2216.910281,53
-1,1,263,51.59037866,-36.02703624,29.02448234,2387.404371,1,28.857,-36.254,3.449,173872.3026,2387404371,2387.404371,55
-1,1,268,29.22334983,-33.53735609,30.66774645,778.7388629,1,30.545,-33.354,22.458,99387.39193,778738862.9,778.7388629,31
-1,1,280,43.5028711,-37.48021502,22.69000802,1608.877607,1,22.782,-37.52,7.784,142419.427,1608877607,1608.877607,45
-1,1,292,40.07466351,-35.4728859,12.40821213,1289.754612,1,12.468,-35.58,14.425,127373.5252,1289754612,1289.754612,41
-1,1,296,82.12190865,-34.95357929,9.542651888,5370.407506,1,9.479,-35.034,23.738,259817.4873,5370407506,5370.407506,83
-1,1,301,85.3516603,-37.63931559,5.242768756,5744.913924,1,4.96,-37.741,7.958,268714.9144,5744913924,5744.913924,86
