,lat,lon,diam,radius
24,-10.023986,-48.665663,410.512553,205.2562765 Kilometer
34,-2.490997,-55.985663,377.82968,188.91484 Kilometer
36,-3.13491,-44.327913,357.930962,178.965481 Kilometer
43,4.344844,-40.889761,317.772382,158.886191 Kilometer
45,3.347104,-49.15436,311.557936,155.778968 Kilometer
52,-1.3786,-36.608961,294.079712,147.039856 Kilometer
83,16.16193,-44.085661,245.440261,122.7201305 Kilometer
127,-2.842234,-66.675657,205.348306,102.674153 Kilometer
134,11.565703,-44.01856,200.946948,100.473474 Kilometer
136,6.485195,-31.044793,200.635937,100.3179685 Kilometer
138,24.691173,-36.063459,199.810631,99.9053155 Kilometer
151,7.24573,-54.22566,192.195096,96.097548 Kilometer
156,24.457089,-64.915786,188.977387,94.4886935 Kilometer
174,27.201918,-60.38566,183.275445,91.6377225 Kilometer
176,8.040065,-57.438662,182.801543,91.4007715 Kilometer
187,-5.701906,-32.47566,178.473161,89.2365805 Kilometer
223,7.883481,-51.031962,164.924249,82.4621245 Kilometer
232,15.340563,-49.01346,161.943713,80.9718565 Kilometer
256,18.79531,-53.30316,155.908688,77.954344 Kilometer
260,3.40671,-34.185659,155.294726,77.647363 Kilometer
277,29.603243,-53.685659,151.155857,75.5779285 Kilometer
280,10.159483,-48.174959,150.657078,75.328539 Kilometer
296,32.502977,-66.785658,146.680038,73.340019 Kilometer
304,15.705339,-30.585661,145.967231,72.9836155 Kilometer
327,19.688615,-47.47856,141.000466,70.500233 Kilometer
335,12.480827,-56.647661,139.508588,69.754294 Kilometer
388,-8.980064,-22.633862,131.4,65.7 Kilometer
445,-4.044115,-51.706961,124.79988,62.39994 Kilometer
456,-0.068864,-69.2769,123.537805,61.7689025 Kilometer
468,5.79164,-59.201589,121.615417,60.8077085 Kilometer
492,14.724255,-62.25596,118.472801,59.2364005 Kilometer
501,17.105866,-35.778852,116.890966,58.445483 Kilometer
523,19.791855,-62.606909,113.714835,56.8574175 Kilometer
543,-2.979644,-64.450857,111.892496,55.946248 Kilometer
563,4.606846,-54.685659,110.217515,55.1087575 Kilometer
572,26.724569,-73.933139,109.250158,54.625079 Kilometer
574,24.830831,-49.406061,108.810875,54.4054375 Kilometer
594,23.468043,-22.91946,107.330513,53.6652565 Kilometer
625,-0.998938,-73.585363,105.02236,52.51118 Kilometer
638,36.108254,-29.921261,103.702266,51.851133 Kilometer
651,8.506928,-67.721159,102.829603,51.4148015 Kilometer
654,9.674308,-60.64826,102.698291,51.3491455 Kilometer
689,15.206292,-57.38566,100.61601,50.308005 Kilometer
692,9.457597,-35.109961,100.411956,50.205978 Kilometer
693,6.453394,-29.661403,100.32502,50.16251 Kilometer
726,-3.541276,-42.705061,98.799081,49.3995405 Kilometer
727,4.104574,-62.369672,98.774764,49.387382 Kilometer
751,23.115057,-71.899962,97.125,48.5625 Kilometer
754,-0.033484,-23.787861,97.026723,48.5133615 Kilometer
767,11.351373,-28.967029,96.233184,48.116592 Kilometer
774,27.694535,-47.59326,95.830855,47.9154275 Kilometer
786,-5.908893,-29.121899,95.401741,47.7008705 Kilometer
793,21.94601,-67.582258,94.680951,47.3404755 Kilometer
794,12.997246,-27.655297,94.580393,47.2901965 Kilometer
807,-8.496945,-32.953062,93.91266,46.95633 Kilometer
809,13.408181,-51.448102,93.788542,46.894271 Kilometer
824,-3.554816,-60.226561,93.071048,46.535524 Kilometer
845,26.505864,-33.585661,91.785611,45.8928055 Kilometer
855,-2.667576,-24.645762,91.296535,45.6482675 Kilometer
861,1.385878,-21.839661,91.095444,45.547722 Kilometer
877,-7.23026,-66.766294,90.269946,45.134973 Kilometer
878,5.091974,-37.64266,90.232233,45.1161165 Kilometer
881,1.568631,-48.319262,90.080777,45.0403885 Kilometer
892,-7.792534,-53.785662,89.707458,44.853729 Kilometer
893,-9.009329,-54.259062,89.67059,44.835295 Kilometer
906,26.369023,-53.594234,89.036895,44.5184475 Kilometer
920,-10.392426,-48.285662,88.561171,44.2805855 Kilometer
923,13.412169,-53.694461,88.27419,44.137095 Kilometer
939,10.553494,-21.494461,87.43694,43.71847 Kilometer
975,-7.692559,-58.585661,85.747801,42.8739005 Kilometer
976,21.106241,-24.485661,85.664172,42.832086 Kilometer
983,14.770097,-41.24106,85.532542,42.766271 Kilometer
993,5.00695,-25.38566,85.214032,42.607016 Kilometer
1030,31.85325,-43.73926,83.630299,41.8151495 Kilometer
1041,28.278173,-50.899967,83.225704,41.612852 Kilometer
1053,27.122145,-29.750561,82.732439,41.3662195 Kilometer
1055,26.826112,-51.59186,82.581447,41.2907235 Kilometer
1063,-9.990259,-50.813563,82.243776,41.121888 Kilometer
1065,-1.411212,-21.984161,82.132063,41.0660315 Kilometer
1094,34.605745,-34.88566,80.776343,40.3881715 Kilometer
1097,35.905668,-40.185659,80.676887,40.3384435 Kilometer
1111,0.107135,-60.38566,80.010082,40.005041 Kilometer
1133,7.520796,-44.460062,79.254695,39.6273475 Kilometer
1136,6.506918,-34.785662,79.239708,39.619854 Kilometer
1180,30.746071,-41.95566,77.246013,38.6230065 Kilometer
1184,-7.629691,-47.539819,77.024854,38.512427 Kilometer
1224,36.105838,-48.88566,75.540467,37.7702335 Kilometer
1225,22.283043,-31.168461,75.528005,37.7640025 Kilometer
1234,13.451954,-63.208162,75.309914,37.654957 Kilometer
1241,5.906959,-57.38566,75.168238,37.584119 Kilometer
1249,25.531945,-47.268259,74.843618,37.421809 Kilometer
1296,11.987825,-23.170361,73.38656,36.69328 Kilometer
1304,-1.892808,-70.885664,73.024894,36.512447 Kilometer
1329,5.427786,-36.230666,72.018856,36.009428 Kilometer
1375,34.678014,-25.519461,70.658931,35.3294655 Kilometer
1380,24.306488,-27.285662,70.539561,35.2697805 Kilometer
1381,20.574861,-23.648461,70.533308,35.266654 Kilometer
1382,30.930328,-49.964861,70.504915,35.2524575 Kilometer
1384,15.887587,-26.703261,70.474583,35.2372915 Kilometer
1387,13.653762,-30.444561,70.415426,35.207713 Kilometer
1391,8.818958,-62.765261,70.192477,35.0962385 Kilometer
1431,20.528016,-60.01576,69.183381,34.5916905 Kilometer
1439,-3.992761,-56.085661,68.896955,34.4484775 Kilometer
1462,-6.910572,-35.672663,68.370916,34.185458 Kilometer
1465,8.57245,-23.067761,68.266468,34.133234 Kilometer
1470,6.169116,-23.732258,68.204204,34.102102 Kilometer
1495,-11.192606,-55.985663,67.683689,33.8418445 Kilometer
1535,34.764086,-72.502562,66.543624,33.271812 Kilometer
1577,11.854975,-53.215761,65.286283,32.6431415 Kilometer
1578,19.506645,-69.185659,65.271701,32.6358505 Kilometer
1585,4.646475,-51.846663,65.063034,32.531517 Kilometer
1600,32.621876,-21.678854,64.652252,32.326126 Kilometer
1621,-1.544668,-26.11536,63.96252,31.98126 Kilometer
1630,-9.332554,-61.814062,63.793855,31.8969275 Kilometer
1635,-3.448839,-70.07556,63.725842,31.862921 Kilometer
1688,-0.378288,-30.33736,62.551026,31.275513 Kilometer
1689,33.688805,-42.00606,62.547713,31.2738565 Kilometer
1709,29.123322,-21.554461,61.920794,30.960397 Kilometer
1724,31.044808,-72.941458,61.518429,30.7592145 Kilometer
1754,-9.517995,-69.087263,60.812031,30.4060155 Kilometer
1755,-9.292675,-59.88566,60.787853,30.3939265 Kilometer
1757,-3.458686,-28.862261,60.775773,30.3878865 Kilometer
1763,-9.216541,-27.839062,60.700388,30.350194 Kilometer
1764,-9.996953,-33.835062,60.689507,30.3447535 Kilometer
1777,21.745713,-26.367962,60.435944,30.217972 Kilometer
1782,12.734332,-42.785662,60.313964,30.156982 Kilometer
1783,10.93406,-35.982363,60.291203,30.1456015 Kilometer
1789,9.088877,-44.84696,60.212773,30.1063865 Kilometer
1809,11.470377,-69.614859,60.011509,30.0057545 Kilometer
1830,26.60814,-50.608811,59.688138,29.844069 Kilometer
1832,-11.31229,-31.382561,59.639257,29.8196285 Kilometer
1850,35.652213,-37.963256,59.21551,29.607755 Kilometer
1901,9.506969,-41.085661,58.244951,29.1224755 Kilometer
1905,9.306972,-54.785662,58.213833,29.1069165 Kilometer
1908,8.27474,-74.610841,58.081388,29.040694 Kilometer
1923,34.904434,-53.09276,57.695426,28.847713 Kilometer
1942,36.608055,-42.003316,57.31738,28.65869 Kilometer
1948,19.843648,-64.596159,57.203878,28.601939 Kilometer
2015,30.636257,-62.75599,56.102748,28.051374 Kilometer
2042,-1.210161,-67.814161,55.807546,27.903773 Kilometer
2046,-10.126095,-41.284662,55.725464,27.862732 Kilometer
2057,33.622001,-22.678854,55.542781,27.7713905 Kilometer
2065,-9.063267,-48.22846,55.431123,27.7155615 Kilometer
2072,15.659587,-38.538458,55.379179,27.6895895 Kilometer
2081,10.273371,-30.308861,55.257668,27.628834 Kilometer
2082,9.00699,-25.985661,55.232259,27.6161295 Kilometer
2083,11.706917,-60.285662,55.199074,27.599537 Kilometer
2085,7.807008,-60.38566,55.140485,27.5702425 Kilometer
2092,2.972153,-47.45616,55.081194,27.540597 Kilometer
2111,21.306741,-43.285662,54.754849,27.3774245 Kilometer
2122,28.977328,-36.12916,54.528586,27.264293 Kilometer
2171,-10.09267,-26.785662,53.721992,26.860996 Kilometer
2174,35.329766,-67.106062,53.703826,26.851913 Kilometer
2189,-8.036414,-57.489161,53.423842,26.711921 Kilometer
2223,-5.792772,-63.185659,52.893689,26.4468445 Kilometer
2236,2.212092,-69.716963,52.679861,26.3399305 Kilometer
2247,-11.364095,-24.869761,52.477785,26.2388925 Kilometer
2250,25.706733,-46.185659,52.437999,26.2189995 Kilometer
2256,24.428086,-41.549063,52.368109,26.1840545 Kilometer
2271,12.557704,-62.738062,52.24836,26.12418 Kilometer
2290,34.650055,-64.84046,51.866209,25.9331045 Kilometer
2317,35.474172,-34.62126,51.449402,25.724701 Kilometer
2339,11.874968,-72.055258,51.10227,25.551135 Kilometer
2355,23.837126,-57.449362,50.894779,25.4473895 Kilometer
